Date,Open,High,Low,Close,Volume
13/09/2009 00:00,1006.86,1023.87,992.12,1007.13,180240
20/09/2009 00:00,1003.16,1019.67,985,990.6,228822
27/09/2009 00:00,994.37,1009.57,984.99,1002.37,173319
04/10/2009 00:00,1003.03,1061.35,1000.85,1048.8,189245
11/10/2009 00:00,1052.29,1070.58,1043.16,1053.15,269576
18/10/2009 00:00,1054.72,1067.75,1047.66,1055.07,296966
25/10/2009 00:00,1052.59,1059.54,1026.4,1044.96,273943
01/11/2009 00:00,1044.12,1100.94,1042.84,1094.72,225468
08/11/2009 00:00,1096.22,1122.7,1095.49,1118.29,260515
15/11/2009 00:00,1124.11,1152.78,1122.98,1150.2,263191
22/11/2009 00:00,1159.16,1194.95,1137.58,1177.28,179428
29/11/2009 00:00,1169.2,1226.37,1147.32,1160.82,181514
06/12/2009 00:00,1156.87,1168.47,1109.36,1115.05,206175
13/12/2009 00:00,1113.48,1141.51,1094.71,1112.98,178739
20/12/2009 00:00,1114.13,1117.9,1074.48,1105.15,119910
27/12/2009 00:00,1108.24,1113.4,1085.99,1097.51,176211
03/01/2010 00:00,1094.61,1140.65,1093.08,1138.25,109373
10/01/2010 00:00,1153.6,1161.63,1118.82,1130.9,363925
17/01/2010 00:00,1132.54,1141.3,1082.15,1092.76,372489
24/01/2010 00:00,1094.72,1103.89,1074.01,1080.67,403541
31/01/2010 00:00,1082.66,1124.8,1044.46,1065.95,420746
07/02/2010 00:00,1065.28,1097.64,1061.65,1093.05,403701
14/02/2010 00:00,1096.54,1126.83,1091.45,1118.99,362017
21/02/2010 00:00,1124.85,1130.75,1088.1,1117.3,243601
28/02/2010 00:00,1117.83,1144.62,1112.05,1134.55,233276
07/03/2010 00:00,1134.85,1137.5,1098.45,1101.49,199575
14/03/2010 00:00,1104.22,1132.97,1101.24,1106.64,246798
21/03/2010 00:00,1105.62,1109.13,1085.05,1107.1,309414
28/03/2010 00:00,1110.18,1127.69,1101.56,1122.18,268338
04/04/2010 00:00,1125.39,1164.37,1122.45,1161.54,275425
11/04/2010 00:00,1167.03,1169.44,1129.89,1137.11,288402
18/04/2010 00:00,1134.76,1157.56,1123.78,1157.37,223526
25/04/2010 00:00,1157.77,1181.41,1146.35,1178.72,278071
